text,topic,difficulty,option1,option2,option3,option4,correct_answer,tags
"What is 12 + 15?",Arithmetic,0.1,25,26,27,28,27,"addition,basic,integers"
"Which fraction is equivalent to 3/4?",Fractions,0.3,6/8,9/16,12/20,15/24,6/8,"equivalence,fractions,basic"
"Solve for x: 2x + 5 = 17.",Algebra,0.5,5,6,7,8,6,"linear-equations,variables,intermediate"
"A rectangle has length 9 and width 4. What is its area?",Geometry,0.4,13,26,32,36,36,"area,rectangles,basic"
"What is 20% of 150?",Percentages,0.5,25,30,35,40,30,"percentages,proportions,intermediate"
"If y = 3x - 2, what is y when x = 5?",Algebra,0.7,11,12,13,15,13,"substitution,expressions,intermediate"
"What is the median of 3, 7, 9, 10, 14?",Statistics,0.6,7,8,9,10,9,"median,data,intermediate"
"A bag contains 5 red and 3 blue marbles. What is the probability of drawing a blue marble?",Probability,0.8,3/5,3/8,5/8,1/2,3/8,"probability,fractions,intermediate"
"Simplify: (2^3) * (2^2).",Exponents,0.9,2^5,4^5,2^6,4^3,2^5,"exponents,powers,intermediate"
"A sequence starts 2, 5, 8, 11. What is the 10th term?",Sequences,1.1,26,27,28,29,29,"sequences,patterns,advanced"
